Track;Artist;Album;Year;Tempo;Duration_Min;Genre;Popularity;ArtistID;GenreID;TimeID
Sun Is Shining;Axwell /\ Ingrosso;More Than You Know;2015;131993;4,24422E+16;Tech House;66;12;1;24
Bass Head;Bassnectar;Timestretch;2011;8498;66147;Downtempo;41;13;7;20
Boomerang;Bassnectar;Divergent Spectrum;2013;139967;44;Techno;21;13;2;22
Butterfly;Bassnectar;Vava Voom;2011;140007;43;Trance;38;13;6;20
Empathy;Bassnectar;Vava Voom;2017;140014;434285;Trance;39;13;6;26
The Matrix;Bassnectar;Divergent Spectrum;2010;169916;4,42352E+15;Hardstyle/Hardcore;30;13;4;19
Timestretch;Bassnectar;Timestretch;2010;13992;60357;Techno;37;13;2;19
Vava Voom;Bassnectar;Vava Voom;2012;140044;3,82857E+16;Trance;33;13;6;21
You & Me (feat. W. Darling);Bassnectar;Noise vs Beauty;2013;140041;4,07142E+16;Trance;40;13;6;22
Cinema (feat. Gary Go) - Skrillex Remix;Benny Benassi;Electroman;2011;145077;51331;Trance;61;14;6;20
My House (feat. Jean-Baptiste Kouame);Benny Benassi;Electroman;2008;125959;3,44733E+16;Future House;16;14;3;17
No Matter What You Do - Benny Benassi Presents the Biz, Sfact Video Edit;Benny Benassi;Benny Benassi - The Best Satisfaction;2008;130023;3,45033E+16;Tech House;31;14;1;17
Paradise - Radio Edit;Benny Benassi;Paradise (Radio Edit);2008;127877;3,88613E+16;Future House;45;14;3;17
Satisfaction;Benny Benassi;Hypnotica;2002;129984;4,75688E+16;Tech House;56;14;1;11
Crush Me Down (You Spin Me Around);Blasterjaxx;Crush Me Down (You Spin Me Around);2014;149927;2,02053E+16;Trance;62;15;6;23
He's A Pirate;Blasterjaxx;He's A Pirate;2011;134967;305925;Techno;50;15;2;20
Narco;Blasterjaxx;Narco;2018;129961;3,47723E+16;Tech House;63;15;1;27
Shadows;Blasterjaxx;Shadows;2016;74983;3,57333E+16;Downtempo;48;15;7;25
I Feel for You;Bob Sinclar;Champs Elysées;2006;129974;5,84688E+16;Tech House;48;16;1;15
Kiss My Eyes;Bob Sinclar;III;2008;12698;4,34198E+16;Future House;33;16;3;17
Love Generation - Edit;Bob Sinclar;Love Generation (Edit);2005;128047;340175;Tech House;71;16;1;14
Rock This Party (Everybody Dance Now);Bob Sinclar;Rock This Party (Everybody Dance Now);2006;128011;40911;Tech House;70;16;1;15
Samba in Hell - Erik Hagleton Remix;Bob Sinclar;Samba in Hell;2018;126021;66671;Future House;8;16;3;27
Tik Tok;Bob Sinclar;Disco Crash;2006;130044;3,11443E+16;Tech House;36;16;1;15
Together;Bob Sinclar;Soundz of Freedom (My Ultimate Summer of Love Mix);2012;128;6,87472E+15;Tech House;36;16;1;21
World, Hold On - FISHER Rework;Bob Sinclar;World, Hold On (FISHER Rework);2020;127006;2,97173E+16;Future House;68;16;3;29
Anywhere But Home;Breathe Carolina;Anywhere But Home;2010;128096;3,17227E+16;Tech House;27;17;1;19
Blackout;Breathe Carolina;Hell Is What You Make It;2013;122951;3,50333E+16;House;51;17;8;22
Dance All Night;Breathe Carolina;Dance All Night;2011;140013;2,15892E+16;Trance;0;17;6;20
Hello Fascination;Breathe Carolina;Hello Fascination;2009;139988;33671;Techno;37;17;2;18
I.D.G.A.F;Breathe Carolina;Hello Fascination;2014;119997;3,23488E+16;House;36;17;8;23
Sellouts;Breathe Carolina;Savages;2019;15998;4,81422E+16;Hardstyle/Hardcore;46;17;4;28
Show Me Yours;Breathe Carolina;It's Classy, Not Classic;2018;144979;3,83243E+16;Trance;21;17;6;27
Blame (feat. John Newman);Calvin Harris;Motion;2014;128024;3,54933E+16;Tech House;81;18;1;23
Feel So Close - Radio Edit;Calvin Harris;18 Months;2011;127937;3,44022E+16;Future House;85;18;3;20
How Deep Is Your Love;Calvin Harris;How Deep Is Your Love;2015;122003;3544;House;81;18;8;24
I Need Your Love (feat. Ellie Goulding);Calvin Harris;18 Months;2013;124989;3,90843E+16;Future House;75;18;3;22
My Way;Calvin Harris;My Way;2016;119986;365265;House;79;18;8;25
Outside (feat. Ellie Goulding);Calvin Harris;Motion;2015;128035;3,78777E+16;Tech House;85;18;1;24
Summer;Calvin Harris;Motion;2014;127949;3,70888E+16;Future House;86;18;3;23
Sweet Nothing (feat. Florence Welch);Calvin Harris;18 Months;2012;127934;3,54267E+16;Future House;77;18;3;21
