Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Fade Into Darkness - Vocal Radio Mix,Avicii,Fade Into Darkness,2011,198133,4,0.556,0.885,6,-4.045,1,0.0321,0.00786,0.00000195,0.138,0.771,125.997,58
Hey Brother,Avicii,True,2013,255093,4,0.545,0.78,7,-4.867,0,0.0436,0.0309,0.0000464,0.0828,0.458,125.014,78
Levels - Original Version,Avicii,Levels,2011,338866,4,0.602,0.834,1,-6.573,0,0.0358,0.0297,0.887,0.34,0.353,125.99,60
Silhouettes - Original Radio Edit,Avicii,Silhouettes,2012,211880,4,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,65
The Days,Avicii,The Days / Nights,2014,278480,4,0.59,0.724,0,-3.278,1,0.0439,0.04,0.0000407,0.142,0.526,127.059,65
The Nights,Avicii,The Days / Nights,2013,176658,4,0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,85
Waiting For Love,Avicii,Stories,2015,230613,4,0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,80
Wake Me Up,Avicii,True,2013,247426,4,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,86
Without You (feat. Sandro Cavazza),Avicii,AVĪCI - 01,2017,181672,4,0.662,0.858,2,-4.844,1,0.0428,0.00163,0,0.0456,0.295,133.993,77
You Make Me,Avicii,True,2013,233346,4,0.586,0.727,6,-4.799,1,0.039,0.00247,0.0107,0.152,0.496,124.99,65
Center of the Universe - Radio Edit,Axwell,Center of the Universe (Original Radio Edit),2013,217773,4,0.598,0.838,4,-5.226,1,0.0334,0.00424,0.0567,0.37,0.318,129.019,29
Feel The Vibe,Axwell,Feel The Vibe,2007,426946,4,0.634,0.846,11,-7.848,0,0.0456,0.00509,0.695,0.229,0.818,128.009,37
Heart Is King,Axwell,Heart Is King,2012,414923,4,0.706,0.746,7,-4.547,1,0.142,0.000211,0.858,0.0889,0.26,127.954,18
I Found U - Radio Edit,Axwell,I Found U,2013,171680,4,0.67,0.962,4,-6.972,0,0.0716,0.0683,0.00919,0.595,0.227,129.978,25
Leave The World Behind - Radio Edit,Axwell,Leave The World Behind,2009,161718,4,0.525,0.849,10,-7.727,0,0.0484,0.00232,0.00196,0.322,0.277,128.055,58
Nothing But Love - Axwell vs Daddy's Groove Remix,Axwell,Nothing But Love (Remixes),2011,370521,4,0.64,0.842,6,-3.965,0,0.0505,0.132,0.19,0.103,0.578,128.968,13
Dreamer,Axwell /\ Ingrosso,More Than You Know,2016,251147,4,0.627,0.847,10,-5.303,1,0.0352,0.0237,0,0.212,0.611,126.017,60
I Love You,Axwell /\ Ingrosso,More Than You Know,2015,190986,4,0.643,0.868,0,-4.03,1,0.15,0.3,0,0.119,0.71,114.895,50
More Than You Know,Axwell /\ Ingrosso,More Than You Know,2017,203000,4,0.646,0.741,5,-4.973,0,0.034,0.0275,0,0.312,0.571,123.077,80
On My Way,Axwell /\ Ingrosso,More Than You Know,2017,264800,4,0.646,0.814,0,-4.547,1,0.0433,0.0583,0.0000642,0.118,0.326,127.978,50
Renegade,Axwell /\ Ingrosso,More Than You Know,2015,191893,4,0.657,0.839,0,-5.397,1,0.0686,0.00602,0.00452,0.0871,0.547,120.054,46
Something New,Axwell /\ Ingrosso,More Than You Know,2016,247146,4,0.577,0.851,11,-3.975,1,0.0339,0.0197,0.000462,0.118,0.396,129.952,56
Sun Is Shining,Axwell /\ Ingrosso,More Than You Know,2015,254653,4,0.467,0.757,2,-3.01,1,0.0517,0.0866,0,0.0742,0.383,131.993,66
Bass Head,Bassnectar,Timestretch,2011,396882,4,0.732,0.678,6,-6.631,1,0.182,0.000997,0.0505,0.108,0.0611,84.98,41
Boomerang,Bassnectar,Divergent Spectrum,2013,264000,4,0.391,0.843,7,-3.865,0,0.0401,1.21E-05,0.85,0.374,0.233,139.967,21
Butterfly,Bassnectar,Vava Voom,2011,258000,4,0.32,0.624,8,-5.115,1,0.0321,0.00231,0.17,0.0851,0.0392,140.007,38
Empathy,Bassnectar,Vava Voom,2017,260571,4,0.382,0.976,11,-2.909,1,0.0729,1.28E-05,0.556,0.109,0.337,140.014,39
The Matrix,Bassnectar,Divergent Spectrum,2010,265411,4,0.526,0.923,4,-3.318,0,0.113,9.63E-05,0.124,0.446,0.632,169.916,30
Timestretch,Bassnectar,Timestretch,2010,362142,4,0.512,0.895,0,-4.223,1,0.0411,0.000532,0.0905,0.0615,0.138,139.92,37
Vava Voom,Bassnectar,Vava Voom,2012,229714,4,0.535,0.969,7,-1.18,1,0.0403,0.000409,0.000166,0.345,0.168,140.044,33
You & Me (feat. W. Darling),Bassnectar,Noise vs Beauty,2013,244285,4,0.493,0.744,7,-4.021,1,0.0342,0.000748,0.384,0.322,0.151,140.041,40
